name,hot,item,description,price
CM01,FALSE,chicken chow mein,,6.25
CM02,FALSE,beef chow mein,,6.25
CM03,FALSE,ham chow mein,,6.25
CM04,FALSE,shrimp chow mein,,7.95
CM05,FALSE,vegetable chow mein,,5.95
